"행정구역별","연령별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"강화군","60대","귀농가구원수[명]","명","21","30","30","46","38","54","66","50","68","51",
"강화군","60대","귀농인수[명]","명","16","22","21","33","30","40","51","38","58","40",
"강화군","60대","동반가구원수[명]","명","5","8","9","13","8","14","15","12","10","11",
"강화군","70대이상","귀농가구원수[명]","명","9","6","12","17","12","14","15","15","24","18",
"강화군","70대이상","귀농인수[명]","명","8","5","9","14","9","9","13","11","17","14",
"강화군","70대이상","동반가구원수[명]","명","X","X","X","X","X","5","X","4","7","4",
"옹진군","계","귀농가구원수[명]","명","18","30","16","23","21","16","17","20","30","18",
"옹진군","계","귀농인수[명]","명","11","16","9","16","15","11","14","12","23","18",
"옹진군","계","동반가구원수[명]","명","7","14","7","7","6","5","X","8","7","0",
"옹진군","30대이하","귀농가구원수[명]","명","4","7","X","5","0","X","X","6","7","0",
"옹진군","30대이하","귀농인수[명]","명","X","X","X","X","0","0","X","X","4","0",
"옹진군","30대이하","동반가구원수[명]","명","X","5","X","X","0","X","0","4","X","0",
"옹진군","40대","귀농가구원수[명]","명","X","X","X","X","X","X","5","5","X","X",
"옹진군","40대","귀농인수[명]","명","X","X","0","X","X","X","4","X","X","X",
"옹진군","40대","동반가구원수[명]","명","0","0","X","0","X","0","X","X","0","0",
"옹진군","50대","귀농가구원수[명]","명","10","14","5","10","9","6","8","X","8","8",
"옹진군","50대","귀농인수[명]","명","8","7","X","7","6","5","6","X","6","8",
"옹진군","50대","동반가구원수[명]","명","X","7","X","X","X","X","X","X","X","0",
"옹진군","60대","귀농가구원수[명]","명","X","6","6","6","6","5","X","7","9","7",
"옹진군","60대","귀농인수[명]","명","X","5","4","5","5","4","X","6","7","7",
"옹진군","60대","동반가구원수[명]","명","X","X","X","X","X","X","0","X","X","0",
"옹진군","70대이상","귀농가구원수[명]","명","0","X","X","0","X","X","0","0","4","X",
"옹진군","70대이상","귀농인수[명]","명","0","0","X","0","X","0","0","0","4","X",
"옹진군","70대이상","동반가구원수[명]","명","0","X","0","0","X","X","0","0","0","0",
"울산광역시","계","귀농가구원수[명]","명","113","155","132","145","140","127","80","109","157","104",
"울산광역시","계","귀농인수[명]","명","69","82","84","88","90","85","67","78","108","75",
"울산광역시","계","동반가구원수[명]","명","44","73","48","57","50","42","13","31","49","29",
"울산광역시","30대이하","귀농가구원수[명]","명","33","44","36","38","36","35","11","20","32","13",
"울산광역시","30대이하","귀농인수[명]","명","6","5","8","12","13","12","6","6","8","5",
"울산광역시","30대이하","동반가구원수[명]","명","27","39","28","26","23","23","5","14","24","8",
"울산광역시","40대","귀농가구원수[명]","명","22","32","18","23","15","13","5","15","17","13",
"울산광역시","40대","귀농인수[명]","명","16","21","14","13","9","8","4","15","14","13",
"울산광역시","40대","동반가구원수[명]","명","6","11","4","10","6","5","X","0","X","0",
"울산광역시","50대","귀농가구원수[명]","명","39","57","50","42","54","44","26","40","54","35",
