"품목군별(1)",품목군별(2),2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022
"품목군별(1)",품목군별(2),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%)
"시설채소 (kg)",방울토마토,6261,19878675,10905902,8972773,45.1,6555,21100545,11385167,9715378,46.0,6582,19805238,10832998,8972240,45.3,5480,14596120,8994584,5601536,38.4,5717,16090101,9413017,6677084,41.5,5233,14227921,9256978,4970942,34.9,5607,16582654,10908179,5674476,34.2,4979,16992353,10416868,6575485,38.7,5401,17904696,10310589,7594106,42.4,5021,19003876,10730872,8273004,43.5
"시설채소 (kg)",시설가지,9859,19472135,11857874,7614261,39.1,10847,22140570,11555236,10585334,47.8,11042,24105720,11729633,12376087,51.3,11452,20225427,10921412,9304016,46.0,11504,20900815,12236042,8664774,41.5,10981,20523814,11009076,9514738,46.4,11842,21127063,12043017,9084046,43.0,11880,23699096,13547873,10151223,42.8,11545,24801331,13513908,11287423,45.5,11809,26403554,13477545,12926009,49.0
"시설채소 (kg)",착색단고추(파프리카),11305,41104980,25434473,15670507,38.1,11747,42430164,26547591,15882574,37.4,13042,40448323,26309632,14138692,35.0,13369,36579741,23715223,12864518,35.2,14019,35742837,25317350,10425486,29.2,13104,36355680,26891702,9463977,26.0,12838,33380434,26927133,6453301,19.3,12453,35266891,28473446,6793445,19.3,12675,36989142,26250421,10738721,29.0,12315,39364235,28271164,11093071,28.2
"시설채소 (kg)",시설무,6279,3165232,1287059,1878173,59.3,6044,2727962,1161245,1566717,57.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"시설채소 (kg)",시설배추,10986,3954960,1519052,2435908,61.6,11638,4224594,1645725,2578869,61.0,12011,4552169,2254182,2297987,50.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"시설채소 (kg)",시설시금치,1917,4464693,2062508,2402185,53.8,1703,3600142,2022654,1577488,43.8,1791,3444093,1752875,1691218,49.1,1708,3475891,1798556,1677335,48.3,1605,2795094,1558235,1236859,44.3,1646,3053568,1807955,1245613,40.8,1527,3047147,1845342,1201805,39.4,1419,3068087,1799644,1268444,41.3,1316,3118804,1921511,1197293,38.4,1317,3632751,1857573,1775178,48.9
"시설채소 (kg)",시설상추,4177,11941870,5272870,6669000,55.8,3839,9670650,4490784,5179866,53.6,3382,9160721,5114343,4046378,44.2,3689,9327790,4363827,4963963,53.2,4182,9468360,4820980,4647380,49.1,3788,9021002,4234982,4786020,53.1,3131,7676203,4216775,3459429,45.1,3548,9804632,4992152,4812480,49.1,3137,8836900,4885785,3951115,44.7,3313,11170375,5743082,5427293,48.6
"시설채소 (kg)",시설부추,6418,11514717,6227922,5286795,45.9,5521,10467816,5977307,4490509,42.9,5447,11002940,6086211,4916729,44.7,4841,10499958,5221320,5278638,50.3,5087,10278979,5470646,4808334,46.8,4673,8604501,5163573,3440928,40.0,4232,8778212,5034554,3743658,42.6,4018,9274074,5273250,4000824,43.1,4128,9272523,5343747,3928776,42.4,3798,11441782,6356934,5084849,44.4
"시설채소 (kg)",시설고추,4639,18124121,9575892,8548229,47.2,4408,18762999,9251965,9511034,50.7,4310,20660137,9573875,11086262,53.7,4573,17328183,8461275,8866907,51.2,4906,13622811,8221591,5401220,39.6,5449,15861277,7263093,8598184,54.2,4487,14372142,7031662,7340479,51.1,4918,16636019,7988604,8647415,52.0,5625,17942420,8506014,9436406,52.6,5561,19364950,9412997,9951953,51.4
"노지과수 (kg)",소계,-,5146205,1859274,3286931,63.9,-,4811986,1853306,2958680,59.2,-,4906053,1892260,3013793,61.3,-,4880185,1978961,2901224,59.4,-,4879966,2105836,2774130,56.8,-,5508556,2188565,3319991,60.3,-,5575898,2421247,3154651,56.6,-,5786253,2512935,3273318,56.6,-,6658745,2779146,3879599,58.3,-,7362338,3376642,3985696,54.1
"노지과수 (kg)",사과,2129,5761662,2169657,3592005,62.3,2070,5565809,2148514,3417295,61.4,2373,5744384,2160665,3583719,62.4,2527,5510432,2391980,3118451,56.6,2453,5455041,2402385,3052656,56.0,2173,5574095,2534365,3039730,54.5,2269,5316740,2674282,2642457,49.7,2004,6216673,3001070,3215603,51.7,2211,6456812,3164983,3291829,51.0,2313,7065740,3703532,3362208,47.6
"노지과수 (kg)",배,2334,5403312,2200799,3202513,59.3,2554,5020392,2290605,2729787,54.4,2585,5176991,2355168,2821823,54.5,2896,5250819,2408121,2842699,54.1,3223,5619984,2719083,2900901,51.6,2831,6176716,2637689,3539027,57.3,2590,5745885,2773186,2972699,51.7,1981,5511224,2603574,2907650,52.8,2785,7173727,3314420,3859307,53.8,3226,7869555,3832088,4037467,51.3
"노지과수 (kg)",복숭아,1505,5306828,1682802,3624026,68.3,1522,4849784,1710299,3139485,64.7,1546,5078133,1678691,3399442,66.9,1561,4833192,1705820,3127372,64.7,1550,4543659,1771363,2772296,61.0,1436,5210418,1752010,3458408,66.4,1292,4367747,1887326,2480421,56.8,1068,3770676,2012039,1758637,46.6,1170,4861367,2164026,2697341,55.5,1209,5097422,2546074,2551348,50.1
